url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason
https://learn.microsoft.com/en-us/azure/virtual-machines/attach-os-disk,Create from an existing OS disk or VHD,Attach an existing OS disk to a VM - Azure Virtual Machines,,Create a new Windows VM by attaching a specialized OS disk.,"Applies to:✔️ Windows VMs Create a new VM by attaching an existing OS disk to a new VM. This option is useful if you have a VM that isn't working correctly. You can delete the VM and then reuse the disk to create a new VM. Important You can also use the VHD as a source to create an Azure Compute Gallery image. For more information, seeCreate an image definition and image version. Customers are encouraged to use Azure Compute Gallery as all new features like ARM64, Trusted Launch, and Confidentia",2024-12-12T08:00:00.000Z,how-to,,0.3,False,"Explains how to create a VM by attaching an existing OS disk; practical guidance but no indication of numeric limits, configuration matrices, or detailed troubleshooting mappings."
https://learn.microsoft.com/en-us/azure/virtual-machines/auto-shutdown-vm,Auto-shutdown a VM,Auto-shutdown a VM - Azure Virtual Machines,,Learn how to set up auto-shutdown for VMs in Azure.,Learn how to automatically shut down virtual machines (VMs) in Azure. The auto-shutdown feature for Azure VMs can help reduce costs by shutting down the VMs during off hours when they aren't needed and automatically restarting them when they're needed again.,2026-01-13T23:03:00.000Z,how-to,,0.3,False,Describes how to set up auto-shutdown for VMs; likely simple scheduling UI/CLI steps without detailed configuration parameter tables or numeric constraints.
https://learn.microsoft.com/en-us/azure/virtual-machines/automatic-extension-upgrade,Automatic extension upgrade,Automatic Extension Upgrade for VMs and scale sets in Azure - Azure Virtual Machines,Enable automatic extension upgrades for Azure VMs,Learn how to enable the Automatic Extension Upgrade for your virtual machines and virtual machine scale sets in Azure.,"Automatic Extension Upgrade is available for Azure Virtual Machines and Azure Virtual Machine Scale Sets. When Automatic Extension Upgrade is enabled on a virtual machine (VM) or scale set, Azure automatically monitors for new extension versions, assess the quality & safety of the new version, approves the version for rollout and then automatically upgrades all VMs using the extension. Azure upgrades all the VMs gradually following Safe Deployment Practices (SDP) to prevent bad version from caus",2025-07-24T05:03:00.000Z,how-to,configuration,0.7,True,"Describes enabling Automatic Extension Upgrade, including how Azure monitors versions and rollout behavior. Contains product-specific configuration steps and behavior details."
https://learn.microsoft.com/en-us/azure/virtual-machines/automatic-vm-guest-patching,Overview,Automatic Guest Patching for Azure Virtual Machines and Scale Sets - Azure Virtual Machines,Configure automatic guest patching for Azure VMs,Learn how to automatically patch virtual machines in Azure.,"Applies to:✔️ Linux VMs ✔️ Windows VMs ✔️ Flexible scale sets Enabling automatic guest patching for your Azure Virtual Machines (VMs) and Scale Sets (VMSS) helps ease update management by safely and automatically patching virtual machines to maintain security compliance, while limiting the blast radius of VMs. Automatic VM guest patching has the following characteristics:",2025-12-01T23:05:00.000Z,how-to,configuration,0.7,True,"Explains how to enable and configure automatic guest patching for VMs and scale sets, including feature characteristics and likely specific settings/parameters. Product-specific configuration knowledge."
https://learn.microsoft.com/en-us/azure/virtual-machines/availability,Overview,Availability options for Azure Virtual Machines - Azure Virtual Machines,,Learn about the availability options for running virtual machines in Azure,Applies to:✔️ Linux VMs ✔️ Windows VMs ✔️ Flexible scale sets ✔️ Uniform scale sets This article provides an overview of the availability options for Azure virtual machines (VMs).,2025-12-05T08:00:00.000Z,concept-article,,0.2,False,"High-level overview of availability options; conceptual guidance without numeric thresholds, decision matrices, or detailed configuration parameters."
https://learn.microsoft.com/en-us/azure/virtual-machines/availability-set-overview,Overview,Availability sets overview - Azure Virtual Machines,,Learn about availability sets for virtual machines in Azure.,Applies to:✔️ Linux VMs ✔️ Windows VMs This article provides an overview of the availability features of Azure virtual machines (VMs). Note We recommend that customers chooseVirtual Machine Scale Sets with flexible orchestration modefor high availability with the widest range of features. Virtual Machine Scale Sets: Availability sets offer only high availability.,2024-11-06T23:00:00.000Z,concept-article,,0.2,False,"High-level overview of availability sets without detailed limits, configuration tables, or decision matrices."
https://learn.microsoft.com/en-us/azure/virtual-machines/azure-cli-change-subscription-marketplace,Change subscription for Marketplace VMs,Azure CLI sample for moving a Marketplace Azure VM to another subscription - Azure Virtual Machines,Move Marketplace Azure VM to another subscription with Azure CLI,Azure CLI sample for moving an Azure Marketplace Virtual Machine to a different subscription.,"Applies to:✔️ Linux VMs ✔️ Windows VMs ✔️ Flexible scale sets To move a Marketplace virtual machine to a different subscription, you must move the OS disk to that subscription and then recreate the virtual machine. You don't need this procedure to move a data disk to a new subscription. Instead, create a new virtual machine in the new subscription from the Marketplace, then move and attach the data disk. This script demonstrates three operations:",2024-08-22T17:37:00.000Z,sample,integrations,0.7,True,"Contains a concrete Azure CLI script and sequence of product-specific operations (moving OS disk, recreating VM) with exact resource types and commands that go beyond generic knowledge."
https://learn.microsoft.com/en-us/azure/virtual-machines/azure-compute-gallery,Overview,Overview of Azure Compute Gallery - Azure Virtual Machines,,Learn about Azure Compute Gallery and how to share Azure resources.,"Applies to:✔️ Linux VMs ✔️ Windows VMs ✔️ Flexible scale sets ✔️ Uniform scale sets Azure Compute Gallery helps you build structure and organization around your Azure resources, like images andapplications. Compute Gallery provides: With a gallery, you can share your resources with everyone. Or you can limit sharing to particular users, service principals, or Active Directory groups within your organization. You can replicate resources to multiple regions, for quicker scaling of your deployments",2025-08-06T22:02:00.000Z,overview,,0.3,False,"Overview of Azure Compute Gallery is largely conceptual/feature description without detailed numeric limits, config parameter tables, or error mappings."
https://learn.microsoft.com/en-us/azure/virtual-machines/azure-hpc-vm-images,Azure HPC VM images,Azure HPC/AI VM images - Azure Virtual Machines,Select Azure HPC/AI optimized VM images,HPC/AI VM images to be used on InfiniBand enabled H-series and GPU enabled N-series VMs.,Applies to:✔️ Linux VMs ✔️ Flexible scale sets ✔️ Uniform scale sets This article shares some information on HPC/AI VM images to be used to launch InfiniBand enabledH-seriesand GPU enabledN-seriesVMs. The Azure HPC team is offering optimized and pre-configured Linux VM images for HPC and AI workloads. These VM images are:,2025-09-04T17:09:00.000Z,concept-article,configuration,0.7,True,"Lists specific Azure HPC/AI images, their names, and intended use on InfiniBand/GPU VMs. Image identifiers and support details are configuration metadata not derivable generically."
https://learn.microsoft.com/en-us/azure/virtual-machines/azure-vm-watch,Overview,Azure VM Watch - Azure Virtual Machines,Configure Azure VM Watch health checks and signals,Learn how to use the Azure VM watch service offering.,"VM watch is a standardized, lightweight, and adaptable service offering for virtual machines (VMs) and virtual machine scale sets. It runs health checks within a VM at configurable intervals and sends the results via a uniform data model to Azure. The AI operations (AIOps) engines for production monitoring in Azure consume these health results for regression detection and prevention. VM watch is delivered via theApplication Health VM extensionto provide ease of deployment and manageability for c",2025-04-29T18:18:00.000Z,concept-article,configuration,0.7,True,"Service-specific article describing how VM Watch runs health checks, what signals are produced, and how they are modeled for AIOps. Likely includes VM Watch–specific configuration options and data model details that aren't generic knowledge."
